listing,categoria,carteira,estado,cidade,Bairro,dias_bloqueados,dias_ativo,faturamento_mes,n_concorrentes,meta,mes_ano,to_listings,to_concorrentes,dias_ocupados,total_dias,media_preco_ocupado,media_preco_disponivel,ocupacao_ainda_disponivel,atingimento_meta,grupo_criticidade,falta_meta,dias_necessarios,potencial_max,potencial_realista,score_bruto,score_normalizado,prioridade,status_operacional
BPM1309,Salvador-Barra-apartamento-SUP-1Q,Carteira 2,BA,"Salvador, BA","Salvador, BA, Barra",1,510,2567.2,201,2862.8,2025-09,0.7241,0.5422,21,30,164.52,140.0,2,0.9,berlinda,295.60000000000036,3.0,2847.2,2769.948,4.818592520143455,40.0462962962963,Baixa,🟠 Abaixo precisa esforço
ETC0028,Florianopolis-Centrao-apartamento-SUP-3Q,Carteira 4,SC,"Florianópolis, SC","Florianópolis, SC, Centro",0,119,5062.76,21,5344.85,2025-09,0.7667,0.5626,23,30,295.13,230.0,1,0.95,berlinda,282.09000000000015,2.0,5292.76,5239.101000000001,6.06945938613806,50.92592592592593,Média,🟠 Abaixo precisa esforço
JBN0043,Sao_Paulo-Brooklin-apartamento-SUP-1Q,Carteira 4,SP,"São Paulo, SP","São Paulo, SP, Brooklin",0,255,3231.75,119,3505.65,2025-09,0.7,0.6346,21,30,198.05,177.0,3,0.92,berlinda,273.9000000000001,2.0,3762.75,3603.45,6.91459501091096,60.416666666666664,Média,🟢 Abaixo viável
PDL005,Porto_Seguro-Pataxos-apartamento-JR-2Q,Carteira 2,BA,"Porto Seguro, BA","Porto Seguro, BA, Paraíso dos Pataxós",0,483,1884.65,34,1868.02,2025-09,0.5667,0.3413,17,30,148.18,191.0,5,1.01,berlinda,-16.63000000000011,-0.0,2839.65,2425.8485,-1.700372587017281,23.61111111111111,Baixa,🟢 Acima com folga
SAT0012,Sao_Paulo-Vila_Olimpia-apartamento-SUP-1Q,Carteira 4,SP,"São Paulo, SP","São Paulo, SP, Itaim Bibi",3,140,5404.12,278,5866.75,2025-09,0.8889,0.7121,24,30,298.79,234.0,2,0.92,berlinda,462.6300000000001,2.0,5872.12,5820.1251999999995,9.226183150807518,72.45370370370371,Média,🟠 Abaixo precisa esforço
BLU0206,Florianopolis-Praia_Brava-apartamento-JR-2Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Canasvieiras",7,437,2020.22,7,2282.25,2025-09,0.6957,0.2405,16,30,185.94,158.5,4,0.89,berlinda,262.03,2.0,2654.2200000000003,2461.2938,9.098861868769857,71.52777777777779,Média,🟢 Abaixo viável
CVPF102,Porto_de_Pedras-Geral-apartamento-SUP-2Q,Carteira 2,AL,"Porto de Pedras, AL","Porto de Pedras, AL, PORTO DE PEDRAS",0,572,2753.12,34,3196.88,2025-09,0.5333,0.417,16,30,209.69,,0,0.86,berlinda,443.7600000000002,0.0,,,,,Baixa,🔴 Abaixo inviável
NWT0814,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",0,125,4167.63,34,4405.55,2025-09,0.6333,0.6132,19,30,322.26,280.0,5,0.95,berlinda,237.92000000000007,1.0,5567.63,5054.25,15.121290190782087,90.50925925925925,Crítica,🟢 Abaixo viável
VTD0203,Florianopolis-UFSC-apartamento-SUP-1Q,Carteira 4,SC,"Florianópolis, SC","Florianópolis, SC, Trindade",1,33,2818.59,41,2601.66,2025-09,0.8276,0.5824,24,30,152.33,,0,1.08,berlinda,-216.9300000000003,0.0,,,,,Baixa,🟡 Acima sem ação
VTE0301,Itapema-Meia_Praia-Norte-apartamento-TOP-3Q,Carteira 6,SC,"Itapema, SC","Itapema, SC, Meia Praia",6,53,3509.86,12,3604.27,2025-09,0.8333,0.3061,20,30,218.9,,0,0.97,berlinda,94.40999999999985,0.0,,,,,Baixa,🔴 Abaixo inviável
AAR0101,Florianopolis-Campeche_Praia-apartamento-JR-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Campeche",0,73,1363.78,11,1416.08,2025-09,0.5333,0.5784,16,30,110.0,100.0,1,0.96,berlinda,52.299999999999955,1.0,1463.78,1417.11,3.693294164171513,33.7962962962963,Baixa,🟢 Abaixo viável
ILC2310,Especial-ILC-hotel-TOP-1Q,Especial,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê Internacional",0,1266,7574.29,27,7153.6,2025-09,0.8667,0.7981,26,30,387.42,405.0,2,1.06,berlinda,-420.6899999999996,-1.0,8384.29,8276.317,23.8173017781257,96.99074074074075,Crítica,🟢 Acima com folga
NWT0902,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",0,160,4319.14,34,4405.55,2025-09,0.7667,0.6132,23,30,265.0,250.0,3,0.98,berlinda,86.40999999999985,1.0,5069.14,4894.165,4.903474027079471,40.50925925925926,Baixa,🟢 Abaixo viável
VGN0102,Florianopolis-Ingleses_Praia-apartamento-SUP-2Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses do Rio Vermelho",0,227,2187.26,28,2474.9,2025-09,0.5667,0.3303,17,30,150.65,,0,0.88,berlinda,287.6399999999999,0.0,,,,,Baixa,🔴 Abaixo inviável
VVP0027,Cabo_Frio-Pero_Perto-casa-JR-4Q,Carteira 4,RJ,"Cabo Frio, RJ","Cabo Frio, RJ, Ogiva",11,346,1966.0,25,2311.47,2025-09,0.5263,0.3229,10,30,272.8,243.0,1,0.85,berlinda,345.4699999999998,2.0,2209.0,2093.8909,18.15926877701202,93.98148148148148,Crítica,🟠 Abaixo precisa esforço
ACE0201,Florianopolis-Canasvieiras_Meio-apartamento-JR-2Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Canasvieiras",0,671,2131.55,11,2295.43,2025-09,0.6333,0.3488,19,30,126.84,130.0,2,0.93,berlinda,163.87999999999965,2.0,2391.55,2296.208,4.640611998623343,38.425925925925924,Baixa,🟢 Abaixo viável
HAI406,Salvador-Centro-apartamento-JR-1Q,Carteira 2,BA,"Salvador, BA","Salvador, BA, Centro",2,399,1761.05,26,1614.9,2025-09,0.5357,0.5602,15,30,151.47,115.67,3,1.09,berlinda,-146.14999999999986,-1.0,2108.06,1946.943257,10.468246021425465,77.77777777777779,Média,🟢 Acima com folga
PAR0002,Urubici-Geral-casa-TOP-1Q,Carteira 3,SC,"Urubici, SC","Urubici, SC, Arroio do Engenho",11,668,3656.78,96,4532.67,2025-09,0.8947,0.3702,17,30,264.12,244.0,2,0.81,berlinda,875.8899999999999,4.0,4144.780000000001,4093.3936000000003,11.787597597001335,82.4074074074074,Crítica,🟠 Abaixo precisa esforço
RAP0306,Florianopolis-Campeche_Praia-apartamento-SUP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Campeche",4,269,2562.29,57,2518.77,2025-09,0.8077,0.5189,21,30,149.95,120.0,1,1.02,berlinda,-43.51999999999998,-0.0,2682.29,2659.214,-2.073392965614168,22.453703703703702,Baixa,🟡 Acima com risco
TXP1007,Goiania-Central-apartamento-SUP-1Q,Carteira 1,GO,"Goiânia, GO","Goiânia, GO, Setor Bueno",0,711,2961.72,140,2762.08,2025-09,0.7333,0.6003,22,30,185.82,196.0,2,1.07,berlinda,-199.63999999999987,-1.0,3353.72,3249.1735999999996,14.16665701210681,89.58333333333334,Crítica,🟢 Acima com folga
TZS210,Penha-Longe-casa-SUP-2Q,Carteira 6,SC,"Penha, SC","Penha, SC, Praia de Armação do Itaporocói",0,503,1166.1,18,1168.87,2025-09,0.1667,0.2554,5,30,267.2,268.0,5,1.0,berlinda,2.769999999999982,1.0,2506.1,1389.4779999999998,0.6351091224858155,28.009259259259263,Baixa,🟢 Acima com folga
VST024,Especial-VST-casa-TOP-1Q,Carteira 5,SC,"Anitápolis, SC","Anitápolis, SC, Rio dos Pinheiros",1,62,2335.77,35,2529.48,2025-09,0.3103,0.1819,9,30,333.67,160.0,3,0.92,berlinda,193.71000000000004,2.0,2815.77,2484.714,6.126476588073439,51.620370370370374,Média,🟠 Abaixo precisa esforço
ILC4406,Especial-ILC-hotel-JR-1Q,Especial,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê Internacional",7,1910,3834.7,15,4134.37,2025-09,0.5217,0.5328,12,30,370.75,346.0,3,0.93,berlinda,299.6700000000001,1.0,4872.7,4376.2246,25.078989060001895,97.22222222222221,Crítica,🟢 Abaixo viável
NWT1004,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",0,138,4228.22,34,4405.55,2025-09,0.6667,0.6132,20,30,279.35,280.0,3,0.96,berlinda,177.32999999999993,1.0,5068.22,4788.2480000000005,11.270420265347115,81.48148148148148,Crítica,🟢 Abaixo viável
STN0404,Florianopolis-Ingleses_Norte-apartamento-SUP-2Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses Norte",0,167,2371.78,29,2481.79,2025-09,0.6667,0.4084,20,30,174.15,198.25,4,0.96,berlinda,110.00999999999976,1.0,3164.78,2900.4731,8.78780335967183,70.13888888888889,Média,🟢 Abaixo viável
PDC001,Ilheus-Sul-apartamento-JR-2Q,Carteira 2,BA,"Ilhéus, BA","Ilhéus, BA, Nossa Senhora da Vitória",0,406,1831.34,22,1781.05,2025-09,0.7,0.3029,21,30,118.0,,0,1.03,berlinda,-50.289999999999964,0.0,,,,,Baixa,🟡 Acima sem ação
TXP0604,Goiania-Central-apartamento-TOP-1Q,Carteira 1,GO,"Goiânia, GO","Goiânia, GO, Setor Bueno",2,441,2312.12,48,2731.56,2025-09,0.6071,0.5615,17,30,189.88,242.6,5,0.85,berlinda,419.44000000000005,2.0,3525.12,3048.5323,18.626012974271116,94.21296296296296,Crítica,🟢 Abaixo viável
CAC025,Florianopolis-Ingleses_Praia-apartamento-SUP-2Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses do Rio Vermelho",0,144,2183.24,28,2474.9,2025-09,0.6,0.3303,18,30,159.06,155.0,5,0.88,berlinda,291.6600000000003,2.0,2958.24,2648.24,9.133156895228101,71.99074074074075,Média,🟢 Abaixo viável
EMA101,Cabo_Frio-Centro-apartamento-SUP-2Q,Carteira 4,RJ,"Cabo Frio, RJ","Cabo Frio, RJ, Centro",1,1035,3341.41,83,3744.58,2025-09,0.7586,0.5528,22,30,214.0,180.0,2,0.89,berlinda,403.1700000000001,3.0,3701.41,3614.506,6.460056935624291,56.018518518518526,Média,🟠 Abaixo precisa esforço
NWT0805,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",0,269,4552.54,34,4405.55,2025-09,0.6333,0.6132,19,30,304.0,280.0,2,1.03,berlinda,-146.98999999999978,-0.0,5112.54,4907.188,-9.342125273802349,8.101851851851851,Baixa,🟢 Acima com folga
